,time,size_type_Cycling,size_type_PostMitotic
0,49.0,36.0,0.0
1,49.5,41.6,5.2
2,50.0,46.4,7.2
3,50.5,51.8,5.0
4,51.0,56.2,4.0
5,51.5,61.4,11.8
6,52.0,68.6,9.0
7,52.5,72.8,8.8
8,53.0,79.0,10.8
9,53.5,86.2,11.8
10,54.0,90.4,12.6
11,54.5,99.6,12.8
12,55.0,107.2,15.4
13,55.5,113.8,14.6
14,56.0,120.6,13.0
15,56.5,127.2,18.0
16,57.0,136.8,18.8
17,57.5,147.2,18.2
18,58.0,158.2,16.0
19,58.5,166.2,19.0
20,59.0,174.0,23.0
21,59.5,182.8,26.2
22,60.0,192.4,24.0
23,60.5,205.8,22.4
24,61.0,215.2,28.0
25,61.5,225.2,25.8
26,62.0,235.8,29.4
27,62.5,248.4,31.4
28,63.0,256.6,36.6
29,63.5,263.8,41.2
30,64.0,271.4,33.8
31,64.5,280.0,39.2
32,65.0,287.0,44.8
33,65.5,291.6,42.0
34,66.0,302.8,46.0
35,66.5,307.8,51.2
36,67.0,310.8,45.8
37,67.5,315.2,47.8
38,68.0,316.8,58.6
39,68.5,321.4,54.4
40,69.0,325.2,58.2
41,69.5,324.4,56.6
42,70.0,323.0,59.2
43,70.5,323.4,61.4
44,71.0,320.6,61.4
45,71.5,317.2,65.2
46,72.0,315.2,65.4
47,72.5,317.0,57.8
48,73.0,314.8,55.6
49,73.5,316.4,60.0
50,74.0,314.2,63.8
51,74.5,310.2,64.0
52,75.0,307.8,62.4
53,75.5,303.2,65.0
54,76.0,298.4,70.6
55,76.5,295.2,59.4
56,77.0,290.6,70.0
57,77.5,286.8,63.4
58,78.0,277.6,70.6
59,78.5,275.6,63.2
60,79.0,270.0,66.0
61,79.5,262.2,69.4
62,80.0,251.0,72.2
63,80.5,245.0,62.6
64,81.0,240.2,60.8
65,81.5,236.2,60.4
66,82.0,233.6,61.0
67,82.5,230.6,56.0
68,83.0,226.2,58.0
69,83.5,218.4,60.8
70,84.0,207.8,68.0
71,84.5,204.6,55.6
72,85.0,202.0,52.4
73,85.5,194.2,54.6
74,86.0,186.2,60.4
75,86.5,181.4,53.0
76,87.0,178.6,50.2
77,87.5,173.6,46.6
78,88.0,165.8,52.4
79,88.5,160.4,47.2
80,89.0,157.2,41.2
81,89.5,154.4,43.0
